lineage,year,country
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2008,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_A1.2,2009,Philippines
Asian SEA4_A1.1.1,2009,Philippines
Asian SEA4_A1.1.2,2005,Philippines
Asian SEA4_B1,2008,Philippines
Asian SEA4_B1,2008,Philippines
Asian SEA4_A1.1.2,2008,Philippines
Asian SEA4_C1,2008,Philippines
Asian SEA4_B1,2008,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_C1,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_A1.1.2,2009,Philippines
Asian SEA4_B1,2009,Philippines
Asian SEA4_B1.1,2009,Philippines
